"FC"	"Gene.Name"	"Gene.ID"	"P.Value"	"dataset"
"131131"	-1.34504193164022	"TAB3"	"257397"	0.0479705037482058	"E.Br.24h.3"
"125761"	-1.58502887544112	"SOS2"	"6655"	0.0540603395110269	"E.Br.24h.3"
"119061"	-1.32679256595824	"SGCB"	"6443"	0.0440157160305308	"E.Br.24h.3"
"113061"	-1.48587128702278	"RORA"	"6095"	0.0922052361539386	"E.Br.24h.3"
"107241"	-1.60434060122004	"RAB33A"	"9363"	0.0318462471108726	"E.Br.24h.3"
"101671"	-2.23882997562575	"PPBP"	"5473"	0.0939947944487875	"E.Br.24h.3"
"101411"	-1.31696070604313	"POU2F1"	"5451"	0.0468819555072538	"E.Br.24h.3"
"96201"	-1.45541443857341	"PDK3"	"5165"	0.0304177935991932	"E.Br.24h.3"
"89761"	-1.64996229039743	"NRP2"	"8828"	0.0412410621481056	"E.Br.24h.3"
"88531"	-1.66606297692158	"NOCT"	"25819"	0.0667476074709755	"E.Br.24h.3"
"86941"	-1.36940453525659	"NFATC1"	"4772"	0.0478390757305833	"E.Br.24h.3"
"86781"	-1.67404331845791	"NF1"	"4763"	0.0884668641939251	"E.Br.24h.3"
"84781"	-1.42068443412883	"NAIP"	"4671"	0.0974572305647234	"E.Br.24h.3"
"83601"	-1.64242174409534	"MYH10"	"4628"	0.0783748376846342	"E.Br.24h.3"
"80621"	-1.94079575514011	"MOB1A"	"55233"	0.0471624547173739	"E.Br.24h.3"
"75011"	-1.48960158828034	"LTN1"	"26046"	0.087902001082575	"E.Br.24h.3"
"74661"	-1.33059225558163	"LRRC75A"	"388341"	0.0140207936231197	"E.Br.24h.3"
"73601"	-1.67039461209322	"LMAN1"	"3998"	0.0417224755245822	"E.Br.24h.3"
"70951"	-1.43745067247608	"KMT2C"	"58508"	0.0143703335709402	"E.Br.24h.3"
"69351"	-1.34117209015119	"KIAA1217"	"56243"	0.0316594670026273	"E.Br.24h.3"
"68041"	-1.49916949661892	"KCNE1"	"3753"	0.0447029237448597	"E.Br.24h.3"
"65071"	-1.41923995156143	"INF2"	"64423"	0.0155060482567284	"E.Br.24h.3"
"56901"	-1.42469308750674	"GRIA3"	"2892"	0.0746868268953909	"E.Br.24h.3"
"55651"	-1.39841851262638	"GPC6"	"10082"	0.0471152917358496	"E.Br.24h.3"
"54711"	-1.51586477762216	"GNA13"	"10672"	0.0566444956205369	"E.Br.24h.3"
"54441"	-1.88468387676519	"GLS"	"2744"	0.0379860451397636	"E.Br.24h.3"
"46781"	-1.42730794944913	"FAM210A"	"125228"	0.00844013159693596	"E.Br.24h.3"
"29181"	-1.34608255438492	"COL6A1"	"1291"	0.0864905721184466	"E.Br.24h.3"
"28871"	-1.35377030814172	"COL12A1"	"1303"	0.0241440546262885	"E.Br.24h.3"
"23221"	-2.50926253206378	"CDH11"	"1009"	0.017506781621348	"E.Br.24h.3"
"22111"	-1.43232557923899	"CD180"	"4064"	0.0819937130193686	"E.Br.24h.3"
"21741"	-1.52715408049797	"CCNT1"	"904"	0.0556958247783682	"E.Br.24h.3"
"20551"	-1.52252420653554	"CCDC186"	"55088"	0.0385548250228953	"E.Br.24h.3"
"12951"	-1.44260870395603	"BCL2L11"	"10018"	0.0977444219840382	"E.Br.24h.3"
"8321"	-1.37629385264921	"ARGLU1"	"55082"	0.0896104276108125	"E.Br.24h.3"
"7211"	-1.32816242623368	"AP1S3"	"130340"	0.056083338284408	"E.Br.24h.3"
"5941"	-1.31822381747503	"AMPD3"	"272"	0.0876843076531769	"E.Br.24h.3"
"4411"	-1.38199251196878	"AHNAK2"	"113146"	0.0988702912690209	"E.Br.24h.3"
"15510"	-1.48785486022499	"ZNF846"	"162993"	0.0621533476844768	"E.Br.24h.4"
"15283"	-1.46325382211759	"ZNF43"	"7594"	0.0391070193735395	"E.Br.24h.4"
"15156"	-1.33185600572718	"ZNF197"	"10168"	0.0319948908874473	"E.Br.24h.4"
"15127"	-1.58425050593247	"ZNF131"	"7690"	0.0887429352486499	"E.Br.24h.4"
"14986"	-1.58449918736228	"ZDHHC2"	"51201"	0.0149298421664089	"E.Br.24h.4"
"14731"	-1.37141651568386	"WDR83"	"84292"	0.0778704306051674	"E.Br.24h.4"
"13572"	-1.61967296992264	"TMED7"	"51014"	0.0107030617370639	"E.Br.24h.4"
"13187"	-1.44920451196593	"TAX1BP1"	"8887"	0.0652392849430535	"E.Br.24h.4"
"13165"	-1.31810651550325	"TANK"	"10010"	0.0927215581404543	"E.Br.24h.4"
"12969"	-1.37443290630402	"STXBP3"	"6814"	0.0943592333362504	"E.Br.24h.4"
"12839"	-1.8234429611138	"ST8SIA4"	"7903"	0.00904775671115966	"E.Br.24h.4"
"12652"	-1.54160535920621	"SPATA7"	"55812"	0.0816425842445265	"E.Br.24h.4"
"12175"	-1.60156833540336	"SLC2A3"	"6515"	0.0605547146006481	"E.Br.24h.4"
"12150"	-1.4344953602277	"SLC25A43"	"203427"	0.0279917336123797	"E.Br.24h.4"
"12096"	-1.30784321386788	"SLC22A7"	"10864"	0.0405180635103735	"E.Br.24h.4"
"12066"	-1.33040967154681	"SLC17A5"	"26503"	0.0546008572265985	"E.Br.24h.4"
"11984"	-1.48108590151399	"SIKE1"	"80143"	0.083487288757249	"E.Br.24h.4"
"11923"	-1.45481536455445	"SGTB"	"54557"	0.0258593750216479	"E.Br.24h.4"
"11705"	-1.33411818358752	"SEC23B"	"10483"	0.0400731492976979	"E.Br.24h.4"
"11575"	-1.7631714331901	"SAMSN1"	"64092"	0.092403768944792	"E.Br.24h.4"
"11203"	-1.32799320364997	"RLIM"	"51132"	0.0657614640224682	"E.Br.24h.4"
"11198"	-1.33527615886906	"RIT1"	"6016"	0.0142295869493659	"E.Br.24h.4"
"11049"	-1.4709951049572	"RECQL"	"5965"	0.0436725899007256	"E.Br.24h.4"
"10848"	-1.3256541065181	"RAPGEF2"	"9693"	0.0345115362543561	"E.Br.24h.4"
"10843"	-1.3408064488249	"RAP2C"	"57826"	0.0555684007703837	"E.Br.24h.4"
"10585"	-1.36003782021392	"PTP4A1"	"7803"	0.0139874876559269	"E.Br.24h.4"
"10203"	-1.6129826594584	"PPP1CB"	"5500"	0.0517499639642254	"E.Br.24h.4"
"10134"	-1.50176875950553	"POMP"	"51371"	0.0152488077983165	"E.Br.24h.4"
"9893"	-1.40912995526105	"PKN2"	"5586"	0.0651342398180799	"E.Br.24h.4"
"9836"	-1.37319712444653	"PIGX"	"54965"	0.0893221401945581	"E.Br.24h.4"
"89762"	-1.53083593232412	"NRP2"	"8828"	0.0767377158984133	"E.Br.24h.4"
"8536"	-1.3293469173278	"NCKAP1"	"10787"	0.08071316340595	"E.Br.24h.4"
"8094"	-1.31993782727573	"MORC3"	"23515"	0.0121266248716202	"E.Br.24h.4"
"7744"	-1.32790408760157	"MAU2"	"23383"	0.0051915489459272	"E.Br.24h.4"
"7710"	-1.49996302186357	"MARCH1"	"55016"	0.0734598310121674	"E.Br.24h.4"
"7486"	-1.31092558079995	"LST1"	"7940"	0.0707335000279799	"E.Br.24h.4"
"73602"	-1.70686196035765	"LMAN1"	"3998"	0.0348834947602353	"E.Br.24h.4"
"6959"	-1.32589672791223	"KIF12"	"113220"	0.0692136910448028	"E.Br.24h.4"
